epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,325.81,2.69636,4.25949,1.97637,0.94208,0.6,0.71941,0.36612,1.97885,1.99018,1.22874,2e-05,2e-05,0.09802
2,702.378,1.94236,1.89933,1.43547,0.96268,0.6,0.80431,0.50209,1.36579,1.39581,1.21152,4.93813e-05,4.93813e-05,0.0950494
3,944.899,1.37943,1.1881,1.23946,0.91369,0.8,0.93045,0.56521,1.40686,1.35718,1.27,7.802e-05,7.802e-05,0.092078
4,1169.61,1.51365,1.00769,1.2684,1,0.83313,0.89637,0.5848,1.34908,1.64292,1.24757,0.000105916,0.000105916,0.0891059
5,1426.74,1.27218,0.95866,1.19201,0.64286,0.9,0.93036,0.61431,1.39947,2.46923,1.25876,0.00013307,0.00013307,0.0861331
6,1666.64,1.3048,0.83135,1.18972,0.81818,0.9,0.92,0.62208,1.35892,2.11322,1.22622,0.000159481,0.000159481,0.0831595
7,1880.94,1.26147,0.77998,1.20676,0.92811,0.9,0.9445,0.64912,1.38461,1.3236,1.28879,0.00018515,0.00018515,0.0801852
8,2102.16,1.14741,0.70054,1.14919,0.93494,0.9,0.9445,0.65289,1.36349,1.36447,1.2805,0.000210076,0.000210076,0.0772101
9,2324.46,1.15507,0.87108,1.12259,0.96906,0.9,0.98591,0.68011,1.31625,1.03702,1.27906,0.00023426,0.00023426,0.0742343
10,2553.47,1.20339,0.70723,1.18492,1,0.98414,0.995,0.68195,1.24429,0.74294,1.25951,0.000257701,0.000257701,0.0712577
11,2792.39,1.09245,0.66387,1.12618,1,0.98998,0.995,0.70675,1.22614,0.72086,1.23077,0.0002804,0.0002804,0.0682804
12,3045.48,1.1818,0.78694,1.14192,0.99973,1,0.995,0.68814,1.21974,0.72169,1.28184,0.000302356,0.000302356,0.0653024
13,3269.94,1.09862,0.63481,1.14209,0.99018,1,0.995,0.65319,1.3196,0.6878,1.36369,0.00032357,0.00032357,0.0623236
14,3527.7,1.10854,0.65093,1.13421,0.99165,1,0.995,0.62753,1.39553,0.62866,1.40892,0.000344041,0.000344041,0.059344
15,3757.79,1.06894,0.66,1.15517,0.99242,1,0.995,0.56467,1.35142,0.63826,1.37027,0.00036377,0.00036377,0.0563638
16,4012.48,1.02679,0.62281,1.13735,0.9829,1,0.995,0.57327,1.35732,0.6775,1.33626,0.000382756,0.000382756,0.0533828
17,4259.73,1.056,0.69255,1.18141,0.97535,1,0.995,0.56573,1.36151,0.73189,1.34959,0.000401,0.000401,0.050401
18,4497.46,0.98268,0.59017,1.13011,0.99113,1,0.995,0.59113,1.38201,0.72092,1.38926,0.000418501,0.000418501,0.0474185
19,4677.75,1.0175,0.56753,1.14847,0.99226,1,0.995,0.5811,1.4419,0.73634,1.40495,0.00043526,0.00043526,0.0444353
20,4888.4,1.00816,0.62536,1.12892,0.99146,1,0.995,0.56806,1.5174,0.68679,1.41503,0.000451276,0.000451276,0.0414513
21,5120.26,1.1464,0.78462,1.17746,0.99113,1,0.995,0.55462,1.49171,0.64787,1.4105,0.00046655,0.00046655,0.0384666
22,5397.24,0.98419,0.66951,1.10165,0.99239,1,0.995,0.58358,1.43282,0.58563,1.41267,0.000481081,0.000481081,0.0354811
23,5630.22,0.85327,0.57123,1.04502,0.99028,1,0.995,0.6028,1.40893,0.70525,1.42553,0.00049487,0.00049487,0.0324949
24,5859.1,0.98847,0.60478,1.0759,0.9854,1,0.995,0.62675,1.3689,0.86102,1.3906,0.000507916,0.000507916,0.0295079
25,6105.39,0.90377,0.56021,1.05512,0.97947,1,0.995,0.63088,1.33969,0.82645,1.33279,0.00052022,0.00052022,0.0265202
26,6360.7,1.00563,0.61045,1.08206,0.97859,1,0.995,0.63892,1.32164,0.79018,1.33261,0.000531781,0.000531781,0.0235318
27,6584.01,0.96407,0.58193,1.03858,0.97912,1,0.995,0.6526,1.35267,0.70917,1.37887,0.0005426,0.0005426,0.0205426
28,6841.75,1.02283,0.60728,1.11553,0.98014,1,0.995,0.64452,1.38138,0.64729,1.37651,0.000552676,0.000552676,0.0175527
29,7056.55,0.96596,0.54301,1.0925,0.98014,1,0.995,0.64452,1.38138,0.64729,1.37651,0.00056201,0.00056201,0.014562
30,7320.1,0.96866,0.59465,1.11767,0.98613,1,0.995,0.63958,1.42785,0.66878,1.39286,0.000570601,0.000570601,0.0115706
31,7557.1,0.8983,0.51912,1.06544,0.98987,1,0.995,0.61949,1.40513,0.61791,1.36093,0.00057845,0.00057845,0.00857845
